Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Mauritania,330710,338642,347103,356081,365561,375526,385958,396836,408139,419846,431937,444401,457236,470450,484058,498072,512498,527332,542575,558221,574271,590725,607594,624900,642677,660945,679705,698953,718699,738955,759723,781043,802901,825183,847733,870458,893321,916407,939896,964035,989016,1014906,1041693,1069401,1098028,1127574,1158012,1189349,1221655,1255021,1289474,1325031,1361562,1398770,1436263,1473736,1511068,1548256,1585264,1622093,1658745,1695166,1731322,1767265,1803078,1838822,1874513,1910133,1945663,1981075,2016351,2051488,2086504,2121429,2156302,2191152,2225979,2260779,2295564,2330350,2365142,2399931,2434694,2469392,2503975,2538398,2572631,2606642,2640373,2673757,2706735,2739264,2771310,2802847,2833853,2864301,2894159,2923391,2951953,2979798,3006871
Mauritius,247628,254127,261515,269510,277889,286488,295206,303999,312875,321878,331052,340392,349809,359118,368076,376522,384362,391669,398663,405657,412881,420367,428038,435872,443815,451803,459875,467983,475862,483164,489650,495265,500112,504314,508063,511543,514728,517689,520820,524622,529438,535443,542502,550259,558185,565883,573237,580323,587166,593848,600424,606880,613159,619220,625017,630522,635711,640610,645303,649905,654500,659119,663739,668329,672832,677209,681451,685568,689559,693427,697170,700785,704261,707588,710748,713731,716532,719149,721581,723823,725877,727741,729419,730916,732241,733404,734407,735255,735959,736532,736985,737324,737552,737668,737671,737561,737337,737002,736559,736011,735365
Mayotte,6893,7177,7514,7888,8288,8704,9135,9581,10049,10546,11080,11654,12263,12895,13531,14160,14775,15383,16002,16659,17372,18153,18996,19884,20789,21692,22590,23500,24452,25488,26639,27921,29332,30870,32528,34301,36178,38167,40301,42629,45175,47957,50940,54037,57128,60124,62990,65742,68411,71051,73699,76361,79021,81668,84288,86871,89416,91930,94428,96923,99430,101952,104488,107045,109625,112232,114867,117529,120214,122916,125631,128355,131084,133813,136531,139231,141910,144565,147187,149766,152297,154776,157204,159584,161921,164219,166479,168703,170898,173077,175246,177410,179568,181717,183854,185976,188081,190168,192238,194295,196343
Melanesia,1082363,1102166,1123301,1145224,1167591,1190267,1213318,1237018,1261803,1288220,1316752,1347629,1380672,1415223,1450336,1485357,1519797,1553893,1588584,1625226,1664651,1707725,1753825,1800542,1844551,1883719,1916736,1945019,1972481,2004610,2045240,2095987,2155389,2220448,2286670,2350838,2412010,2471355,2530287,2591046,2655256,2723181,2794206,2868025,2944088,3021946,3101574,3183000,3265861,3349712,3434217,3519161,3604535,3690473,3777218,3864920,3953563,4042989,4133051,4223553,4314339,4405363,4496593,4587883,4679066,4770033,4860674,4951014,5041246,5131650,5222414,5313574,5405017,5496615,5588169,5679518,5770590,5861353,5951727,6041636,6130999,6219747,6307800,6395054,6481398,6566730,6650986,6734119,6816075,6896812,6976295,7054488,7131364,7206901,7281082,7353897,7425346,7495437,7564183,7631609,7697744
Mexico,13945514,14343391,14768773,15220687,15698035,16199597,16724014,17269803,17835407,18419277,19020107,19637101,20270192,20920141,21588264,22275624,22980857,23703574,24446854,25214844,26009685,26830860,27674576,28535349,29405902,30279610,31156786,32034906,32901359,33740372,34541774,35299433,36019102,36717452,37418299,38139306,38885015,39651561,40437849,41240187,42055127,42881971,43719951,44564793,45411066,46253461,47091613,47922267,48733902,49512161,50247269,50933598,51574719,52181656,52770755,53354091,53934899,54510163,55078192,55635303,56178717,56709337,57228485,57734162,58223710,58695514,59148435,59583811,60005546,60419058,60828195,61234071,61635355,62030389,62416484,62791420,63154561,63505739,63843652,64166860,64474072,64764426,65037155,65291211,65525535,65739236,65931657,66102368,66251051,66377530,66481672,66563349,66622452,66658920,66672770,66664131,66633254,66580516,66506423,66411610,66296838
Micronesia,63011,64947,66876,68853,70925,73120,75442,77883,80416,83008,85622,88243,90878,93568,96378,99337,102486,105790,109137,112366,115380,118134,120695,123189,125802,128670,131823,135244,138970,143029,147437,152214,157339,162723,168243,173808,179369,184923,190461,196000,201536,207078,212591,217970,223081,227840,232182,236161,239947,243797,247874,252259,256879,261600,266210,270564,274619,278436,282084,285674,289290,292946,296622,300324,304047,307792,311561,315358,319170,322985,326784,330563,334322,338046,341722,345339,348887,352364,355773,359109,362383,365585,368713,371764,374731,377609,380399,383102,385716,388239,390671,393015,395270,397444,399539,401559,403510,405396,407224,409002,410733
"Micronesia, Fed. Sts.",15525,16204,16783,17314,17836,18379,18958,19578,20233,20911,21596,22281,22973,23691,24468,25317,26269,27300,28309,29158,29758,30058,30116,30079,30158,30502,31161,32086,33213,34434,35670,36908,38166,39419,40642,41821,42925,43952,44944,45964,47051,48232,49472,50670,51684,52422,52840,52984,52950,52884,52888,52999,53188,53426,53657,53844,53983,54095,54196,54310,54453,54630,54836,55071,55330,55610,55909,56228,56567,56926,57302,57695,58101,58511,58914,59299,59663,60005,60326,60626,60908,61169,61409,61625,61817,61983,62124,62241,62332,62400,62443,62464,62463,62444,62407,62357,62295,62225,62149,62071,61995
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,388528,396431,404688,413307,422299,431678,441463,451675,462338,473477,485115,497270,509950,523152,536869,551096,565829,581079,596879,613270,630278,647926,666196,685028,704334,724058,744244,764937,786082,807606,829501,851267,872946,895671,920991,949749,982882,1019356,1055675,1087069,1110292,1123866,1129268,1129847,1130498,1134800,1143802,1156516,1172011,1188618,1205090,1221362,1237881,1254477,1271006,1287358,1303395,1319076,1334534,1349982,1365569,1381310,1397126,1412960,1428727,1444356,1459814,1475088,1490150,1504975,1519530,1533799,1547737,1561259,1574258,1586655,1598421,1609563,1620092,1630034,1639419,1648246,1656530,1664336,1671750,1678839,1685627,1692121,1698344,1704318,1710055,1715560,1720830,1725851,1730608,1735078,1739233,1743044,1746473,1749481,1752025
Montenegro,208637,210068,212576,215713,219142,222631,226064,229430,232812,236359,240205,244391,248789,253069,256789,259660,261518,262519,263075,263780,265058,267023,269532,272432,275470,278442,281375,284285,286942,289058,290450,291005,290844,290310,289886,289930,290551,291673,293243,295145,297285,299615,302141,304872,307831,310993,314439,318051,321380,323831,325014,324711,323130,320829,318610,317053,316355,316351,316824,317411,317844,318081,318224,318318,318445,318664,318978,319349,319744,320118,320435,320684,320871,321004,321099,321167,321207,321214,321187,321124,321026,320893,320724,320514,320258,319950,319590,319180,318725,318230,317701,317141,316550,315931,315283,314609,313911,313194,312463,311726,310992
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,4472150,4577864,4689389,4807476,4932551,5064720,5203748,5349078,5499885,5655163,5813999,5975857,6140830,6309748,6483873,6664001,6850518,7042784,7239332,7438141,7637798,7838142,8039802,8243189,8448996,8657996,8869330,9083430,9303856,9535308,9780705,10041373,10315018,10596393,10878167,11154742,11424331,11687467,11943717,12193308,12436458,12672406,12900744,13122626,13339762,13553422,13764450,13972664,14177137,14376432,14569808,14756863,14938862,15118751,15300472,15486872,15679011,15876192,16077298,16280426,16484075,16687914,16892097,17096114,17299440,17501565,17702075,17900515,18096296,18288789,18477455,18661949,18842007,19017302,19187534,19352480,19511932,19665824,19814279,19957529,20095765,20229015,20357269,20480644,20599280,20713303,20822718,20927577,21028096,21124538,21217067,21305694,21390298,21470662,21546530,21617642,21683757,21744657,21800153,21850079,21894296
Mozambique,3293515,3341829,3393305,3447807,3505235,3565526,3628656,3694640,3763523,3835378,3910278,3988271,4069362,4153500,4240604,4330646,4423873,4520451,4620207,4722878,4828441,4935913,5045673,5160612,5284640,5420068,5567450,5724357,5886326,6047230,6202085,6352943,6500020,6634750,6746161,6828497,6874747,6892541,6908594,6959380,7070145,7252163,7495475,7777944,8066598,8337453,8583277,8811227,9028924,9249326,9481633,9727026,9980986,10240418,10500577,10757961,11011814,11263115,11512159,11759717,12006399,12252102,12496640,12740508,12984360,13228716,13473798,13719649,13966385,14214066,14462753,14712446,14963218,15215251,15468767,15723857,15980540,16238569,16497430,16756436,17015019,17272965,17530167,17786306,18041056,18294163,18545443,18794838,19042395,19288250,19532511,19775226,20016397,20256005,20494050,20730580,20965704,21199595,21432498,21664720,21896638
Myanmar,8650752,8814943,8987139,9167565,9356250,9553026,9757511,9969127,10187147,10410774,10639384,10872782,11111426,11356521,11609752,11872477,12144623,12426188,12718627,13023711,13342437,13675540,14021944,14378562,14741136,15106490,15472549,15839602,16209612,16585753,16969780,17362171,17760362,18159380,18552580,18935018,19304756,19662489,20009192,20346934,20677294,20999607,21313174,21619553,21920820,22218189,22513590,22806061,23090522,23359947,23609928,23838605,24049432,24249896,24450437,24658904,24877417,25104741,25341185,25586092,25838600,26099440,26368178,26641125,26913299,27180863,27442305,27697736,27946932,28190215,28427775,28659086,28883546,29101277,29312587,29517704,29716560,29909024,30095217,30275301,30449391,30617535,30779685,30935735,31085528,31228949,31365882,31496342,31620492,31738569,31850696,31956816,32056716,32150076,32236537,32315752,32387409,32451242,32507033,32554608,32593842
Namibia,244286,249291,254570,260097,265852,271827,278020,284440,291100,298024,305233,312745,320569,328704,337141,345886,354896,364193,373923,384277,395371,407305,419980,433066,446105,458783,471099,483219,495219,507227,519421,531575,543861,557312,573297,592684,615993,642651,671092,699105,725092,748452,769623,789306,808653,828491,849015,869888,890787,911212,930828,949523,967510,985169,1003035,1021489,1040675,1060464,1080622,1100789,1120702,1140291,1159642,1178835,1198006,1217248,1236568,1255911,1275232,1294468,1313568,1332510,1351288,1369887,1388291,1406485,1424462,1442203,1459669,1476810,1493593,1510006,1526064,1541797,1557253,1572470,1587456,1602218,1616799,1631248,1645600,1659872,1674061,1688153,1702127,1715966,1729654,1743181,1756542,1769735,1782765
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,3845019,3917002,3989158,4062521,4137889,4215829,4296661,4380473,4467155,4556453,4648146,4742229,4839074,4939496,5044562,5155014,5271298,5393180,5519880,5650240,5783458,5919313,6058197,6200661,6347524,6499401,6656476,6818647,6985913,7158194,7335442,7518200,7706670,7900101,8097428,8298177,8501365,8707982,8921864,9148186,9390357,9649821,9924601,10210421,10501158,10792180,11081701,11370297,11658501,11947689,12238646,12531433,12824796,13116722,13404602,13686684,13962245,14232123,14498109,14762831,15028353,15295048,15562792,15832549,16105341,16381823,16662397,16946758,17233900,17522348,17810879,18099083,18386787,18673264,18957737,19239551,19518285,19793657,20065354,20333129,20596796,20856088,21110914,21361510,21608266,21851459,22091074,22326965,22559123,22787521,23012099,23232764,23449387,23661810,23869846,24073290,24271913,24465467,24653685,24836279,25012942
Netherlands,5073001,5131443,5193378,5258246,5325579,5394998,5466223,5539063,5613405,5689188,5766329,5844646,5923788,6003209,6082247,6160371,6237234,6312720,6386813,6459606,6531119,6601237,6669702,6736219,6800440,6862086,6921324,6978170,7032056,7082254,7128427,7170210,7208276,7244606,7281870,7321999,7365748,7412642,7461848,7511976,7561971,7611643,7661242,7710645,7759785,7808579,7856830,7904347,7951059,7996926,8041867,8085878,8128778,8170111,8209297,8245942,8279891,8311310,8340547,8368118,8394448,8419651,8443756,8467009,8489676,8511970,8533988,8555775,8577409,8598946,8620399,8641795,8663063,8683988,8704278,8723688,8742114,8759494,8775677,8790500,8803829,8815590,8825725,8834144,8840764,8845532,8848439,8849518,8848833,8846480,8842561,8837184,8830458,8822506,8813465,8803500,8792799,8781580,8770088,8758595,8747402
Netherlands Antilles,57641,58755,59795,60802,61807,62831,63886,64973,66086,67211,68334,69449,70560,71688,72860,74090,75401,76773,78131,79374,80435,81274,81927,82500,83139,83948,84969,86160,87446,88708,89864,90877,91776,92616,93481,94425,95464,96554,97621,98561,99296,99834,100193,100325,100171,99712,98909,97832,96700,95810,95377,95469,96030,96988,98217,99611,101168,102881,104628,106260,107668,108796,109659,110307,110829,111288,111693,112025,112297,112519,112700,112850,112973,113066,113121,113134,113105,113040,112939,112805,112639,112443,112217,111962,111679,111369,111033,110671,110282,109867,109426,108958,108462,107939,107386,106805,106193,105550,104873,104162,103414
New Caledonia,30689,30430,30497,30820,31343,32020,32817,33711,34691,35753,36895,38113,39391,40704,42019,43319,44568,45781,47058,48536,50303,52406,54783,57279,59679,61827,63669,65253,66645,67954,69262,70588,71915,73251,74600,75966,77355,78784,80285,81896,83643,85535,87562,89702,91925,94203,96532,98904,101288,103642,105935,108151,110292,112378,114437,116490,118542,120585,122610,124606,126567,128489,130378,132237,134075,135898,137707,139499,141274,143029,144761,146470,148156,149819,151457,153069,154655,156215,157747,159251,160727,162174,163593,164981,166340,167668,168965,170232,171467,172672,173847,174991,176105,177189,178242,179264,180255,181216,182147,183048,183919
New Zealand,948999,968323,990195,1013456,1037245,1061002,1084483,1107743,1131095,1155030,1180001,1206179,1233247,1260315,1286165,1310000,1331112,1349897,1367982,1387665,1410427,1437188,1466988,1497156,1523948,1544791,1558633,1566623,1571086,1575441,1582183,1592277,1605063,1619486,1633815,1646926,1658238,1668558,1679768,1694471,1714368,1740370,1771459,1805060,1837518,1866240,1890181,1910201,1927923,1945850,1965753,1988130,2012237,2037127,2061358,2083909,2104500,2123537,2141505,2159151,2177023,2195241,2213628,2232084,2250420,2268494,2286297,2303880,2321228,2338331,2355175,2371746,2388021,2403966,2419539,2434709,2449459,2463786,2477689,2491171,2504238,2516887,2529118,2540938,2552361,2563397,2574051,2584328,2594242,2603809,2613043,2621951,2630537,2638802,2646746,2654370,2661676,2668666,2675347,2681725,2687807
Nicaragua,651090,669746,689668,710906,733456,757257,782187,808068,834679,861774,889148,916697,944480,972743,1001847,1032065,1063479,1096043,1129746,1164539,1200390,1237258,1275175,1314259,1354670,1396486,1439708,1484181,1529630,1575684,1622035,1668720,1715702,1762529,1808642,1853718,1897303,1939669,1982094,2026348,2073598,2124341,2177891,2232769,2286868,2338625,2387652,2434293,2478627,2520953,2561568,2600417,2637582,2673702,2709620,2746002,2783012,2820684,2859373,2899447,2941115,2984581,3029672,3075721,3121800,3167197,3211661,3255264,3298012,3340017,3381349,3421933,3461648,3500486,3538452,3575547,3611744,3647014,3681354,3714769,3747255,3778797,3809367,3838934,3867463,3894918,3921277,3946519,3970609,3993514,4015202,4035648,4054831,4072733,4089337,4104626,4118583,4131189,4142423,4152263,4160687
Niger,1306329,1338277,1371046,1404691,1439300,1474995,1511934,1550307,1590333,1632238,1676220,1722400,1770784,1821248,1873582,1927632,1983425,2041026,2100376,2161401,2224075,2288389,2354446,2422476,2492784,2565614,2641106,2719290,2800170,2883709,2969905,3058895,3150831,3245762,3343724,3444810,3549133,3656936,3768621,3884678,4005524,4131487,4262739,4399367,4541386,4688896,4842440,5002468,5168927,5341644,5520782,5706060,5898406,6100623,6316372,6548182,6797381,7063078,7342827,7632975,7930875,8235929,8549017,8870768,9202301,9544528,9897627,10261571,10636875,11024133,11423878,11836337,12261784,12700835,13154185,13622329,14105364,14603171,15115701,15642807,16184222,16739689,17308714,17890442,18483810,19087823,19701885,20325360,20957136,21595973,22240806,22890848,23545554,24204540,24867477,25534003,26203695,26876045,27550459,28226260,28902688
Nigeria,18693001,19056047,19435912,19830024,20236521,20654262,21082846,21522590,21974433,22439789,22920092,23416312,23928535,24455777,24996504,25550136,26118429,26703894,27307926,27932100,28578940,29245813,29936218,30665892,31455406,32317967,33261864,34279059,35346258,36430486,37508095,38569909,39623062,40680025,41760555,42878695,44037948,45232342,46455277,47696654,48949356,50212019,51487850,52779827,54092575,55429813,56792032,58179158,59593725,61038669,62516035,64025797,65567207,67140407,68745308,70380940,72046704,73739767,75453958,77181390,78915562,80653390,82393380,84132594,85868391,87598528,89321284,91035299,92739419,94432817,96115098,97785464,99444261,101093821,102737442,104377712,106015174,107649729,109282527,110914741,112547084,114179702,115812081,117443292,119071982,120696757,122316847,123931148,125537417,127132974,128715478,130283193,131834892,133369640,134886548,136384538,137862270,139318089,140750017,142155761,143532719
