"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.16919659,25.77482606,,,,,,,,,,,
Togo,55.16127532,53.39504554,51.85181122,48.89430683,44.66232175,43.87946269,44.21052692,44.57429663,42.95982382,33.76072007,31.68568945,30.73284871,32.00883615,24.61082382,26.6061986,32.29729809,35.44502503,24.08602164,25.35583164,27.48854604,28.18356321,26.96296706,34.47566819,33.4608036,33.66423192,34.75775805,33.48428231,33.57475517,32.22346084,33.75411481,32.82417094,35.26324641,44.143647,34.92287991,37.76285037,40.8371031,42.19238596,34.96374082,36.93322318,35.14112169,37.71936035,38.19171068,35.79569812,36.23331062,39.40855815,35.8837052,35.82352891,40.70809912,42.69750709,42.8280091,43.15674454
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,50.11159068,45.78214998,43.87352371,41.79010675,41.71078433,38.49740039,39.05793548,38.14238656,36.28196268,37.70715168,37.78372266,38.9583285,38.86537522,37.95558716,36.02731124,35.59276808,36.84697699,38.15791132,40.80194714,25.32204737,22.73886556,23.85858672,23.92690661,24.86258531,25.8260711,22.8280015,21.19128358,21.66895242,23.16226106,24.10385713,22.02593798,19.65459102,20.88817992,19.26708474,19.7575071,20.34451008,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,2.643058157,3.021382131,2.954860127,2.979984803,2.903162385,2.637035945,2.615415922,2.570672721,2.600375377,2.601220551,2.322058028,2.415303062,2.173775577,2.269999667,2.181492078,2.027936414,1.412957799,1.33924179,1.460777785,0.9867304752,0.9514031469,0.4895366932,0.5710289467,0.372330776,0.3693591291,0.5921416757,0.5732250953,
Tunisia,,,,,23.73848179,20.66045724,18.7942545,20.00713903,18.45890411,19.70300061,22.29182981,24.6104245,22.85340841,21.39167651,20.95052083,20.43586995,18.54605756,17.62935089,15.78380535,16.32779609,15.62336913,14.95256347,14.5063579,16.29911824,18.10987648,14.92248062,18.79839179,13.54055161,14.55447057,17.73547512,19.10520066,18.6047099,16.96971604,14.44627113,13.03850604,15.69321817,12.60625031,11.96617336,11.98545104,11.33388235,10.67899119,9.32603728,10.38113979,11.00942643,10.12734687,10.15396534,9.406179401,8.544771651,8.929372667,8.005144006,8.319699115
Turkey,52.7868544,53.82690547,54.41840993,51.62988892,47.5145818,48.59332803,45.87370556,42.83845651,41.96951934,40.16736402,38.47133758,35.40328337,35.01416431,37.08705589,36.49751881,33.60110456,32.4,32.66034796,28.57511426,26.50387597,24.51713156,22.68519862,21.35953703,21.69041728,20.25880139,20.10440599,18.47404548,17.84525228,17.10160888,18.09289968,15.80402654,15.56318072,16.07486623,16.02579693,16.28944767,17.39455624,14.96561964,13.58250668,11.53797521,11.31228838,9.948399257,11.70773815,11.39152511,10.91919577,10.79623017,9.524254811,8.676405808,8.607625058,9.347573031,9.599536299,9.159222693
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55905512,26.86567164,28.87323944,32.23684211,32.31292517,10.61105013,19.44444444,34.00954654,17.17861206,13.3311546,21.5786594,26.17454654,26.18934973,24.36762575,24.35657464,22.0130172,20.292289,19.44073803,18.80724562,17.44215358,12.3,12,12,12,12
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,51.73934178,51.16979498,50.72205247,52.03396121,52.27655987,51.88756333,50.8265126,49.68306671,50.63511165,53.77767366,56.61802753,56.95780177,60.90116279,62.43864816,72.17943781,73.2478241,73.96886373,74.26910118,65.57032232,72.02925783,58.42696629,53.73280943,57.57184372,54.81880252,52.74135513,56.60533233,56.75479748,56.71121457,56.7861919,56.57689698,52.82168297,51.12051916,51.54009804,49.9232941,49.39077445,45.14211767,41.98402345,42.07154065,38.45645113,29.38455705,29.69154468,24.90403166,26.14874394,22.91541417,26.70464208,25.59061497,23.62934773,22.73712859,24.68183083,24.24898299,23.41729819
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66921899,20.94048494,22.9353177,25.57333133,22.78138244,20.35643892,21.66971979,16.24320453,15.40075658,13.82873947,14.41400323,14.23627081,14.2811045,17.08280767,16.37209818,14.6217084,12.09697898,11.92764003,10.39983538,8.680658816,7.46048326,7.904622314,8.256066372,8.169961014,8.293667046
United Arab Emirates,,,,,,,,,,,,,,,0.5401882942,0.5450882806,0.4851568777,0.6290674808,0.5472231781,0.4906024573,0.5483067647,0.6403664579,0.7306005817,0.8424715104,0.925826535,1.184524144,1.143229342,1.197735192,1.193025792,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395413347,1.094296321,0.9757862405,0.828960785,0.9650434879,0.8773101433,
United Kingdom,,,,,,,,,,2.860045425,2.831590526,2.812530175,2.797719617,2.779135103,2.718162175,2.613712073,2.486801721,2.355098158,2.234841665,2.12357748,2.043658229,1.963390819,1.883595382,1.804194493,1.725491874,1.766720802,1.808716355,1.852037334,1.896629061,1.815050319,1.728400125,1.759143187,1.809376884,1.763382134,1.844831673,1.692701995,1.353317772,1.179228093,1.096469376,0.9874588559,0.9184553991,0.941374168,0.9664897019,0.9968524873,0.6741983486,0.6578036049,0.6888061811,0.7911150852,0.7187341877,0.7244068684,
United States,,,,,,,,,,3.542820485,3.514395583,3.687494421,4.843478261,4.328259431,4.073396962,3.566462168,3.231457525,3.321214998,3.496339554,2.897941681,3.153191192,2.884563848,2.154627748,2.570882817,2.415286591,2.218254935,2.238295154,2.040427155,2.101254834,2.063723293,1.894572404,1.954274114,1.863028935,1.834777514,1.607811468,1.805715555,1.685758917,1.300089704,1.219934045,1.190978876,1.181402837,1.009241245,1.197297611,1.34507504,1.212483968,1.042895226,1.130169679,1.220378431,1.103414075,1.180634033,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,13.40118019,14.62802845,13.59511315,12.65181936,13.71186373,12.04352629,10.89759792,9.208457677,8.497830722,8.815643711,7.366757862,7.925336057,8.616111364,8.016058205,7.705982042,7.974664468,6.778210245,6.962935961,6.518692985,8.685455695,11.1429923,12.87584105,10.3725408,10.73120614,10.18882832,10.87770254,9.784915897,9.470537052,10.07509004
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61125888,29.25875915,31.13557887,32.76472796,36.97700295,34.82753262,30.44774065,37.42615998,32.29463652,26.13553228,32.18285021,31.30841121,33.52397903,34.35904837,34.00571349,34.25172744,33.0938864,30.77324627,27.96856667,26.13889292,23.95121304,21.36344445,19.50497983,19.52940302,18.89935754
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,21.95122225,18.89775019,21.35024069,19.97182842,25.10280545,26.7489406,27.82098201,23.94366197,20.36598942,20.02320784,20.2851008,20.87692806,16.55999621,16.19981116,18.07408055,16.28335227,16.44358006,17.60067175,16.74536256,26.09722554,24.84678538,22.96413023,23.5298826,24.00219599,22.55275804,23.33759591,21.94525904,20.55877919,20.48611753,20.11541084,19.71439905,,
Venezuela,4.934939848,4.90295232,5.080288266,5.09846343,5.321558094,5.642903218,5.87624591,5.971563851,6.472196976,6.108786572,5.864661699,5.386740331,5.433525963,4.503105554,5.032350855,4.601989925,4.898828561,4.944255969,4.77153269,4.801883641,4.896981289,5.202821712,5.587395288,5.556488729,6.305778873,6.674275843,6.582892273,6.757378351,6.29846473,5.466066,5.57920338,5.42717462,5.486261165,5.264690033,5.525520819,4.490747206,4.929622812,5.42015946,4.725817153,4.210018277,4.544217324,4.103337017,4.555546456,4.037468186,4.022868233,3.977649831,4.194157925,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,40.17093763,38.06343863,40.55749078,46.29701711,42.06741956,38.73674365,40.4891326,33.93858782,29.869952,27.42782802,27.18269026,27.75882539,25.77170602,25.77939511,25.43443981,24.5345833,23.2410477,23.03331126,22.54243731,21.80769935,20.97017317,20.40489969,20.35961756,22.21397702,20.91100405,20.57873285,19.66286891
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38056746,23.12413417,24.17753092,22.55313933,24.96181437,20.53383296,16.72812731,16.19026184,19.56317279,16.43483208,13.76784717,14.11544786,13.34206955,12.8770235,11.73033638,10.54766696,10.14691811,10.3831709,8.98751113,9.863140791,7.700268672,
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,15.63400576,14.69135802,14.02508552,12.43926142,10.55555556,11.63247863,14.2460693,14.05714359,12.35213205,11.62682172,14.31549624,15.51135818,18.12312081,18.11106572,16.39019206,15.07071025,17.40992882,14.89184963,16.72818716,16.361353,14.57076489,13.5622059,12.0491211,17.42194461,21.24495763,20.60479633,17.42768622,23.81227052,34.10152274,15.49242979,18.40537701,17.57157184,18.65555927,21.13794722,24.18488813,22.31071555,22.12077933,22.06893744,22.5741775,23.02555132,23.31833168,22.43983222,21.76434111,18.94753914,21.5531844,9.158563425,20.72186024
Zimbabwe,,,,,20.12582094,21.9537596,22.89420732,17.78304363,20.44586979,16.98159896,19.21433829,19.65385139,16.63829198,19.73573798,19.05594349,19.02815917,18.11441931,14.35554733,13.59243603,15.6971171,17.73660507,16.11974222,11.23770411,14.85827211,22.67356899,17.76078254,14.40752747,16.38214582,14.93031124,16.47630352,15.26726204,7.413792574,15.03891232,18.97339678,15.23519268,21.77110661,18.9340821,21.78853027,19.17667783,18.26159706,17.30703148,14.02900718,16.59340069,19.57504765,18.57727858,20.28182008,21.59790674,19.39888477,17.20926173,16.00242152,12.76026426
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
