SIN(s) PROPOSED,SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE ,CONTRACT END DATE
132-51,Security Analyst Level I,Bachelors,3,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Security Analyst Level II,Bachelors,7,Hour,$93.31,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Security Analyst Level III,Bachelors,10,Hour,$103.68,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Security Engineer Level I,Bachelors,3,Hour,$217.72,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Security Engineer Level II,Bachelors,7,Hour,$269.56,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Security Engineer Level III,Bachelors,10,Hour,$295.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Analyst Level I,Bachelors,3,Hour,$141.00,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Analyst Level II,Bachelors,7,Hour,$165.88,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Analyst Level III,Bachelors,10,Hour,$196.99,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Engineer Level I,Bachelors,3,Hour,$228.09,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Engineer Level II,Bachelors,7,Hour,$279.93,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Assurance Engineer Level III,Bachelors,10,Hour,$305.01,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Analyst Level I,Bachelors,3,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Analyst Level II,Bachelors,7,Hour,$93.31,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Analyst Level III,Bachelors,10,Hour,$103.68,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Designer Level I,Bachelors,3,Hour,$89.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Designer Level II,Bachelors,7,Hour,$101.60,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Designer Level III,Bachelors,10,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Developer Level I,Bachelors,3,Hour,$238.46,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Developer Level II,Bachelors,7,Hour,$269.56,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Developer Level III,Bachelors,10,Hour,$295.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Database Specialist Level I,Bachelors,3,Hour,$111.97,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Database Specialist Level II,Bachelors,7,Hour,$122.34,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Database Specialist Level III,Bachelors,10,Hour,$132.71,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration and Testing Specialist Level I,Bachelors,3,Hour,$70.50,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration and Testing Specialist Level II,Bachelors,7,Hour,$76.73,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration and Testing Specialist Level III,Bachelors,10,Hour,$85.02,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Functional Analyst Level I,Bachelors,3,Hour,$82.94,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Functional Analyst Level II,Bachelors,7,Hour,$99.53,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Functional Analyst Level III,Bachelors,10,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Quality Assurance Analyst Level I,Bachelors,3,Hour,$72.57,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Quality Assurance Analyst Level II,Bachelors,7,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Quality Assurance Analyst Level III,Bachelors,10,Hour,$91.23,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Modeling and Simulation Specialist Level I,Bachelors,3,Hour,$165.88,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Modeling and Simulation Specialist Level II,Bachelors,7,Hour,$207.36,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Modeling and Simulation Specialist Level III,Bachelors,10,Hour,$248.83,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration Engineer Level I,Bachelors,3,Hour,$186.62,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration Engineer Level II,Bachelors,7,Hour,$259.19,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Integration Engineer Level III,Bachelors,10,Hour,$393.55,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Engineer Level I,Bachelors,3,Hour,$109.89,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Engineer Level II,Bachelors,7,Hour,$134.78,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Application Engineer Level III,Bachelors,10,Hour,$145.15,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Product Engineer Level I,Bachelors,3,Hour,$101.60,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Product Engineer Level II,Bachelors,7,Hour,$116.12,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Product Engineer Level III,Bachelors,10,Hour,$130.63,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Software Engineer (coders) Level I,Bachelors,3,Hour,$82.94,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Software Engineer (coders) Level II,Bachelors,7,Hour,$93.31,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Software Engineer (coders) Level III,Bachelors,10,Hour,$103.68,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Test Engineer Level I,Bachelors,3,Hour,$101.60,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Test Engineer Level II,Bachelors,7,Hour,$111.97,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Test Engineer Level III,Bachelors,10,Hour,$134.78,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Engineer Level I ,High School Diploma and operating system certification,3,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Engineer Level II,High School Diploma and operating system certification,7,Hour,$155.52,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Systems Engineer Level III,High School Diploma and operating system certification,10,Hour,$207.36,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Engineer Level I,Bachelors Computer Science or related field,3,Hour,$105.75,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Engineer Level II,Bachelors Computer Science or related field,7,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Information Engineer Level III,Bachelors Computer Science or related field,10,Hour,$134.78,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Enterprise Architect Level I ,Bachelors Computer Science or related field and operating system certification,3,Hour,$186.62,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Enterprise Architect Level II,Bachelors,7,Hour,$295.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Enterprise Architect Level III,Masters,10,Hour,$442.75,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Strategic Planner Level I ,Bachelors,10,Hour,$295.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Strategic Planner Level II,Bachelors,15,Hour,$393.55,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Strategic Planner Level III,Bachelors,20,Hour,$491.94,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Manager Level I,Bachelors,3,Hour,$93.31,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Manager Level II,Bachelors,7,Hour,$103.68,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Manager Level III,Bachelors,10,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Task Manager/Site Manager Level I,Bachelors,3,Hour,$124.41,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Task Manager/Site Manager Level II,Bachelors,7,Hour,$134.78,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Task Manager/Site Manager Level III,Masters,10,Hour,$145.15,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,QA/QC Manager Level I,Bachelors,3,Hour,$103.68,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,QA/QC Manager Level II,Bachelors,7,Hour,$114.05,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,QA/QC Manager Level III,Bachelors,10,Hour,$124.41,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Project Manager Level I,Bachelors,3,Hour,$186.62,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Project Manager Level II,Bachelors,7,Hour,$207.36,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Project Manager Level III,Bachelors,10,Hour,$259.19,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Program Manager Level I,Bachelors,3,Hour,$259.19,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Program Manager Level II,Bachelors,7,Hour,$295.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Program Manager Level III,Masters,10,Hour,$344.36,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Analyst Level I,High school graduate or equivalent.,3,Hour,$49.76,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Analyst Level II,High school graduate or equivalent.,5,Hour,$60.13,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Help Desk Analyst Level III,High school graduate or equivalent.,7,Hour,$68.42,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,End User Specialist Level I,High school graduate or equivalent and operating system certification,3,Hour,$62.21,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,End User Specialist Level II,High school graduate or equivalent and operating system certification,7,Hour,$72.57,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,End User Specialist Level III,High school graduate or equivalent and operating system certification,10,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Administrator Level I,Bachelors,3,Hour,$72.57,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Administrator Level II,Bachelors,7,Hour,$82.94,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,System Administrator Level III,Bachelors,10,Hour,$93.31,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,"Installer (ie:  Cable, Hardware, Software) Level I",High school graduate or equivalent.,3,Hour,$39.40,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,"Installer (ie:  Cable, Hardware, Software) Level II",High school graduate or equivalent.,7,Hour,$45.62,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,"Installer (ie:  Cable, Hardware, Software) Level III",High school graduate or equivalent.,10,Hour,$53.91,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Technical Writer/Editor Level I,Bachelors,3,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Technical Writer/Editor Level II,Bachelors,7,Hour,$89.16,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Technical Writer/Editor Level III,Bachelors,10,Hour,$101.60,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Graphics Specialist Level I,High school graduate or equivalent.,3,Hour,$64.28,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Graphics Specialist Level II,High school graduate or equivalent.,7,Hour,$72.57,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Graphics Specialist Level III,High school graduate or equivalent.,10,Hour,$80.87,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Instructional Systems Designer Level I,Bachelors,3,Hour,$72.57,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Instructional Systems Designer Level II,Bachelors,7,Hour,$78.79,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Instructional Systems Designer Level III,Bachelors,10,Hour,$91.23,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,VTC Specialist Level I,High school graduate or equivalent.,3,Hour,$66.36,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,VTC Specialist Level II,High school graduate or equivalent.,7,Hour,$76.73,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,VTC Specialist Level III,High school graduate or equivalent.,10,Hour,$85.02,GS-35F-314CA,"YAHYA TECHNOLOGIES, LLC",S,IT Schedule 70,Contractor,1,5/5/15,5/4/20
132-51,Project Officer,Masters,14,Hour,$338.54,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Program Manager,Masters,10,Hour,$265.99,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Project Manager,Masters,8,Hour,$232.14,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Principal Systems Architect,Bachelors,7,Hour,$183.78,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Senior Computer System Analyst,Bachelors,6,Hour,$169.27,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Applications Trainer,Bachelors,4,Hour,$120.91,GS-35F-202BA,EXECUTIVE CONSULTING GROUP,O,IT Schedule 70,Both ,2,2/6/14,2/5/19
132-51,Program Manager,Masters,10,Hour,$108.81,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Consultant 1,Bachelors,10,Hour,$151.98,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Consultant 2,Bachelors,7,Hour,$106.18,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Consultant 3,Bachelors,4,Hour,$99.44,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Systems Analyst 1,Bachelors,10,Hour,$108.81,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Systems Analyst 2,Bachelors,7,Hour,$85.13,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Software Engineer 1,Bachelors,7,Hour,$114.39,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Software Engineer 2,Bachelors,5,Hour,$92.67,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Software Engineer 3,Bachelors,2,Hour,$75.88,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,IT Security Analyst 1,Masters,8,Hour,$122.29,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,IT Security Analyst 2,Bachelors,5,Hour,$76.27,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Network Engineer 1,Bachelors,4,Hour,$87.86,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Network Engineer 2,Bachelors,1,Hour,$75.88,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Software Developer 1,Bachelors,10,Hour,$108.81,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Software Developer 2,Bachelors,8,Hour,$88.41,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Web Developer 1,Bachelors,8,Hour,$93.61,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Web Developer 2,Bachelors,5,Hour,$75.33,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Web Developer 3,Bachelors,2,Hour,$64.42,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Program Support 1,High School,4,Hour,$55.59,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Program Support 2,High School,1,Hour,$26.03,GS-35F-513BA,GRAHAM TECHNOLOGIES LLC,S,IT Schedule 70,Both ,2,9/11/14,9/10/19
132-51,Program/ Project Manager,Bachelors,7 yrs,Hour,$83.50,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,1,1/29/14,1/28/19
132-51,Program/ Project Manager,Bachelors,7 yrs,Hour,$85.17,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,2,1/29/14,1/28/19
132-51,Program/ Project Manager,Bachelors,7 yrs,Hour,$86.87,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,3,1/29/14,1/28/19
132-51,Program/ Project Manager,Bachelors,7 yrs,Hour,$88.61,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,4,1/29/14,1/28/19
132-51,Program/ Project Manager,Bachelors,7 yrs,Hour,$90.30,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,5,1/29/14,1/28/19
132-51,.NET Consultant,Bachelors,6 yrs,Hour,$78.59,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,1,1/29/14,1/28/19
132-51,.NET Consultant,Bachelors,6 yrs,Hour,$80.16,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,2,1/29/14,1/28/19
132-51,.NET Consultant,Bachelors,6 yrs,Hour,$81.76,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,3,1/29/14,1/28/19
132-51,.NET Consultant,Bachelors,6 yrs,Hour,$83.40,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,4,1/29/14,1/28/19
132-51,.NET Consultant,Bachelors,6 yrs,Hour,$85.07,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,5,1/29/14,1/28/19
132-51,J2EEE Consultant,Bachelors,6 yrs,Hour,$75.64,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,1,1/29/14,1/28/19
132-51,J2EEE Consultant,Bachelors,6 yrs,Hour,$77.16,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,2,1/29/14,1/28/19
132-51,J2EEE Consultant,Bachelors,6 yrs,Hour,$78.70,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,3,1/29/14,1/28/19
132-51,J2EEE Consultant,Bachelors,6 yrs,Hour,$80.27,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,4,1/29/14,1/28/19
132-51,J2EEE Consultant,Bachelors,6 yrs,Hour,$81.88,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,5,1/29/14,1/28/19
132-51,ERP Consultant,Bachelors,6 yrs,Hour,$108.06,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,1,1/29/14,1/28/19
132-51,ERP Consultant,Bachelors,6 yrs,Hour,$110.22,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,2,1/29/14,1/28/19
132-51,ERP Consultant,Bachelors,6 yrs,Hour,$112.43,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,3,1/29/14,1/28/19
132-51,ERP Consultant,Bachelors,6 yrs,Hour,$114.67,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,4,1/29/14,1/28/19
132-51,ERP Consultant,Bachelors,6 yrs,Hour,$116.97,GS-35F-181BA,"TECHNOGEN, INC.",S,IT Schedule 70,Both,5,1/29/14,1/28/19
